ID_Jugador;Nombre;Apellido;Nombre_Completo;Nombre_Corto;Edad;Categoria_2025;Valor_Mercado;Nacionalidad;Altura;Pie preferido;Extranjero;Posicion;Posicion S_1;Posicion S_2;goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
;;;;;;;;;;;;;;;0;0;0;4;80;5;71;1;0;92;9;75;247;1;1;0;4;0;0;0;3;0;0;0;0;0;7;0;106;1;0;0;4;67;1;3;0;0;1;1;0;0;0;0;0;0;0;Juan Delgado;Alianza Lima
;;;;;;;;;;;;EXI;;;1;3;0;24;38;4;44;9;2;82;28;38;713;12;9;10;11;0;0;0;1;1;0;0;0;0;64;1;151;8;0;0;3;60;1;6;1;2;20;5;8;5;0;4;0;0;0;Kevin Quevedo;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;21;57;9;38;3;0;77;30;49;628;8;7;2;8;0;0;0;4;0;0;0;0;0;34;0;161;6;4;31;11;38;9;30;4;1;4;1;0;0;0;1;0;0;0;Marco Huaman;Alianza Lima
;;;;;;;;;;;;;;;0;1;0;6;32;9;53;1;0;77;15;42;208;5;5;4;8;0;0;0;4;0;0;0;0;0;12;1;30;5;0;0;0;0;0;2;2;0;9;1;2;0;0;2;0;0;0;Matías Succar;Alianza Lima
;;;;;;;;;;;;;;;0;1;0;25;53;12;48;5;0;78;37;51;779;5;11;1;11;0;0;0;5;1;0;0;0;0;76;0;319;6;13;30;21;36;6;33;8;0;5;1;0;0;0;1;0;0;0;Miguel Trauco;Alianza Lima
;;;;;;;;;;;;;;;0;1;0;4;67;1;100;1;0;80;5;71;90;0;1;1;1;0;0;0;3;0;0;0;0;0;2;0;24;0;0;0;2;40;1;4;0;0;1;1;0;0;0;0;0;0;0;Nicolas Amasifuen;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;15;48;3;33;2;1;86;18;45;513;7;4;5;8;0;0;0;2;1;0;0;0;0;99;2;250;21;14;38;16;67;3;2;5;0;11;1;5;0;0;1;0;0;0;Pablo Ceppelini;Alianza Lima
;;;;;;;;;;;;;;;1;0;1;15;48;1;25;4;0;78;16;46;279;3;5;3;4;0;0;0;0;0;0;0;0;0;27;0;80;4;1;14;5;71;2;3;4;0;9;2;1;11;0;0;0;0;0;Pablo Lavandeira;Alianza Lima
338;Paolo;Guerrero;Paolo Guerrero;P. Guerrero;41;Mayor;50000;Perú;185;Der.;0;DC;;;5;1;1;25;51;41;60;8;0;71;66;56;729;15;8;14;11;0;0;0;1;0;0;0;0;0;73;1;141;11;1;100;4;80;0;9;1;2;22;9;5;23;0;10;0;0;0;Paolo Guerrero;Alianza Lima
2039604;Piero;Cari;Piero Cari;P. Cari;17;Sub-20;200000;Perú;178;Der.;0;MP;;;0;1;0;11;50;4;67;4;1;85;15;54;197;5;2;2;7;0;0;0;1;0;0;0;0;0;22;0;61;4;0;0;2;67;1;1;2;0;3;2;0;0;0;0;0;0;0;Piero Cari;Alianza Lima
